"","lon","lat","cell","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"46",44.5198141727363,40.2300552755885,5,9.5,2.375,5.4,5,4.75,2.25,7.5,7.5,5.4,0,0,0,4.5,0,54.175
"47",44.5306900260213,40.2388514690788,5,20,2.25,4.5,4.5,9.5,4.5,0,15,5.7,0,0,0,0,0,65.95
"48",44.5228045942843,40.2379238491843,5,20,5,4.5,0,9.5,0,0,14.25,4.75,0,0,0,0,0,58
"49",44.5084484481182,40.2092527807038,5,20,2.25,9,4.75,10,5,15,15,10,0,4.5,5,4.5,0,105
"50",44.5352331863867,40.2275632960547,5,15.2,4,9,3.6,7.2,2.375,7.5,9,9,0,0,0,0,0,66.875
"51",44.5385883984772,40.2158186678332,6,19,3.8,9,3.8,9,4,12,12,6,0,4.5,0,2.375,0,85.475
"52",44.5547359672689,40.224066417953,6,16,3.6,7.2,3,8,4.5,9,12,8,0,0,0,3.6,0,74.9
"53",44.5651253347936,40.2344330210192,6,12,4.75,5.4,2.7,5,2.7,7.125,9,7.2,0,0,0,2.375,0,58.25
"54",44.5507003413757,40.2247954858665,6,20,4.5,9,3.6,9.5,3.6,8.1,15,7.2,0,0,0,2.85,0,83.35
"55",44.5706184776488,40.2268692044902,6,20,2.7,8,4.5,6,3,11.4,13.5,7.2,0,0,0,2.85,0,79.15
"56",44.5605516523134,40.2311379424343,6,12,2.25,5.4,3,6,3.6,7.5,11.4,7.2,0,0,0,2.7,0,61.05
"57",44.5525747783342,40.228539995841,6,18,3.6,7.2,2.7,9,3.6,7.5,13.5,7.2,0,0,0,2.7,0,75
"58",44.5667818909371,40.234627918899,6,12,4.75,5.4,2.7,5,2.7,7.5,9,7.2,0,0,0,2.25,0,58.5
"59",44.5655924553016,40.2076044143294,6,20,4.5,9.5,4.75,9,3.6,15,14.25,8,0,0,0,3,0,91.6
"60",44.5523751806805,40.2256378752959,6,19,3.6,7.2,3.6,9,3.6,8.1,15,6,0,0,0,2.85,0,77.95
"61",44.5808586176379,40.2106545137032,7,20,2.7,9,4.75,8,3.8,15,13.5,8,0,0,0,4.5,0,89.25
"62",44.588865458063,40.2298528408189,7,12,2.7,5.4,2.85,6,2.375,9,8.1,5.4,0,0,0,2.25,0,56.075
"63",44.5823652730346,40.2258019465382,7,16,3.6,7.2,4,8,3.8,12,12,7.6,0,0,0,2.7,0,76.9
"64",44.604573444752,40.2064264556521,7,9,4.5,10,5,10,4.75,7.125,6.75,5.4,0,0,0,4.5,0,67.025
"65",44.5864190417213,40.206155338413,7,16,2.25,7.2,3.8,6,3,12,11.4,7.2,0,0,0,3.6,0,72.45
"66",44.5922150631108,40.2202239710232,7,16,3.6,5.7,4,8,3.8,12,11.4,5.7,0,0,0,2.7,0,72.9
"67",44.5752586954319,40.2106236747931,7,16,2.7,8,4,8,3.8,15,12,9,0,0,0,4.5,0,83
"68",44.6054225064709,40.2214857073407,7,9,2.25,9,5,10,4.75,7.125,6.75,9.5,0,0,0,4.5,0,67.875
"69",44.5981802511866,40.2386555006878,7,18,4.5,9,0,0,0,13.5,0,0,0,0,0,0,0,45
"70",44.5890639275673,40.2121342737542,7,18,3.6,7.2,4,8,3.8,14.25,13.5,6,0,0,0,3.6,0,81.95
"71",44.3873665029357,40.1929999840876,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9
"72",44.3676824120757,40.1739433156652,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
