"","WKT","ID","NAME","NAME_EN","TYPE","point"
"2215","44.5230688236267 40.1799628740225",50878,"","""Doka Pizza""","restaurant/cafe",6
"2216","44.5231163445052 40.179925057098",50879,"""?????""","""Kamar""","healthcare",10
"2217","44.5228198106299 40.1802112572552",50882,"VD Computers","","mall/shop(non-food)",14
"2218","44.5223340017243 40.1806444672827",50885,"","""Pyramida"" Cafe","restaurant/cafe",6
"2219","44.5223065132766 40.1806748028622",50886,"USLaptop","","mall/shop(non-food)",14
"2220","44.5224464707979 40.1805639612558",50887,"""??????""","""Zigzag""","mall/shop(non-food)",14
"2221","44.5223459493176 40.1811128141753",50888,"ACBA-Credit Agricole Bank (ATM)","","bank/atm",10
"2222","44.5225500465501 40.1809056822584",50889,"""Pekin"" Chinise Restaurant","","restaurant/cafe",6
"2223","44.5227089585239 40.1807855070227",50890,"ACBA (ATM)","","bank/atm",10
"2224","44.5228954487769 40.1806312211996",50891,"MICRORING","","mall/shop(non-food)",14
"2225","44.5240291226654 40.1798792100542",50894,"","","bus_stop",4
"2226","44.5237750791031 40.180212218117",50896,"","","bus_stop",4
"2227","44.5244838498622 40.1797716615528",50897,"????? ??????? ?????","Yeghishe Charents Monument","playground/attraction",4
"2228","44.5242051026296 40.1800306149943",50898,"???? ?? ????","""Cafe De Flore""","restaurant/cafe",6
"2229","44.5242109416789 40.1802074138078",50899,"""????? ????""","""Tashir Pizza""","restaurant/cafe",6
"2230","44.5245327182137 40.1809067803749",50900,"""Labeerint""","","pub/bar",4
"2231","44.5222865706773 40.181138070774",50901,"HSBC (ATM)","","bank/atm",10
"2232","44.5224200603285 40.1816552112916",50902,"""Global Bridge"" Educational Centre","""Global Bridge"" Educational Centre","School/kindergarten",7
"2233","44.5230882272368 40.181374713666",50903,"""Gardman Tour""","""Gardman Tour""","state institutions/NGO",4
"2234","44.5274784736934 40.1809478224677",50906,"","","bank/atm",10
"2235","44.5274389478209 40.1810404072981",50907,"«?????????»","""Unibank"" HQ","bank/atm",10
"2236","44.5166870121853 40.1827806217169",50924,"??? ??? ????","Paul&Shark","mall/shop(non-food)",14
"2237","44.517046697625 40.1825201688972",50925,"ASHB","","bank/atm",10
"2238","44.5170917032207 40.1824989620228",50926,"AmeriaBank (ATM)","","bank/atm",10
"2239","44.5171023033411 40.1828364181988",50928,"Europe","","mall/shop(non-food)",14
"2240","44.5173319127277 40.1828016912425",50931,"""Baldi""","","mall/shop(non-food)",14
"2241","44.5173620961213 40.1828198782871",50932,"","","mall/shop(non-food)",14
"2242","44.5173955134498 40.1828546052341",50933,"Cyber Stars game zone","","mall/shop(non-food)",14
"2243","44.517452825965 40.1828866555824",50934,"Araqs","","supermarket/shop(food)",10
"2244","44.5176919574936 40.1830309849078",50935,"??????","Gusto","restaurant/cafe",6
"2245","44.516627813208 40.1831896575921",50937,"????????? ???????","""Tumanyani Shaurma""","restaurant/cafe",6
"2246","44.5167913964213 40.1832827197723",50938,"LLLAB LLC","","mall/shop(non-food)",14
"2247","44.5182845760865 40.1829395695077",50941,"?????????????","ArmEconomBank","bank/atm",10
"2248","44.5183505124284 40.1829922775012",50942,"??????","PROMOD","mall/shop(non-food)",14
"2249","44.5184630713335 40.1829257062005",50943,"Pharmacy","","healthcare",10
"2250","44.5186819907682 40.1829758748878",50944,"","","supermarket/shop(food)",10
"2251","44.519332550697 40.1830075820281",50946,"Consel","","mall/shop(non-food)",14
"2252","44.5191925931757 40.1831353026313",50947,"Ameria bank (ATM)","","bank/atm",10
"2253","44.519239215739 40.1830983796659",50948,"Ameria bank","","bank/atm",10
"2254","44.5186266545467 40.1831915106014",50949,"????? ???????? ???????","Tomas Twinings tea house","restaurant/cafe",6
"2255","44.5184894818028 40.183716871",50950,"?????????????","Armeconombank (ATM)","bank/atm",10
"2256","44.5188287754856 40.1833882038149",50952,"ACBA-Credit Agricole Bank","","bank/atm",10
"2257","44.5190107741622 40.1832727684391",50953,"iStore (Apple store)","""iStore""","mall/shop(non-food)",14
"2258","44.5192133442588 40.1836988900842",50960,"?????","""Parma""","supermarket/shop(food)",10
"2259","44.5192527802997 40.1837665586964",50961,"AmeriaBank","","bank/atm",10
"2260","44.5169181487079 40.1839693582404",50962,"???? ???? ????????","Library after Khno Aper","state institutions/NGO",4
"2261","44.5179074633303 40.1841259012302",50964,"?????????? ????? ?????????? ??????","Puppet Theatre after Tumanian","cinema/theatre/museum",6
"2262","44.517784843294 40.1842899930337",50966,"Areximbank (ATM)","","bank/atm",10
"2263","44.5177429818017 40.1843237584246",50967,"HSBC (ATM)","","bank/atm",10
"2264","44.5167943608617 40.1850580142623",50972,"????????? ???? ?????","Karabakh woman","playground/attraction",4
"2265","44.5173916506941 40.184711921955",50977,"","","bus_stop",4
"2266","44.5177804415491 40.1847041669416",50978,"","","bus_stop",4
"2267","44.5178602119463 40.1847872759332",50980,"????? ??????? ??????","""Retro Music"" Club","restaurant/cafe",6
"2268","44.5179009056287 40.184755089226",50981,"?????? ????","Anelik Bank","bank/atm",10
"2269","44.5175500236787 40.1850335140322",50983,"?????????","Burmunk","mall/shop(non-food)",14
"2270","44.5174524666388 40.1851119559145",50984,"?????","Diana","mall/shop(non-food)",14
"2271","44.5175656543647 40.1852092703895",50986,"????????","Puledro","mall/shop(non-food)",14
"2272","44.5177029169401 40.1849207579568",50987,"???? ????","Lanch Time","restaurant/cafe",6
"2273","44.5181724663391 40.1838730714259",50989,"???????","Enoteca","restaurant/cafe",6
"2274","44.5182861032225 40.1838763656314",50990,"?????","Sharan Made in Armenia","mall/shop(non-food)",14
"2275","44.5188825845712 40.1840030551617",50992,"????????","Prometey Bank","bank/atm",10
"2276","44.5193100928149 40.184003604195",50993,"","","playground/attraction",4
"2277","44.5189213019599 40.1843477785095",50994,"????? ???????? ???????","Katoghike Church","place_of_worship",3
"2278","44.5181098537638 40.1845750767206",50995,"","","bank/atm",10
"2279","44.5183356902262 40.1849609054549",50996,"","","supermarket/shop(food)",10
