"","WKT","ID","NAME","NAME_EN","TYPE","point"
"1","44.4721880662711 40.1176802643038",45187,"??????","Aramis","supermarket/shop(food)",10
"2","44.4459512412624 40.1275183596644",45234,"","","place_of_worship",3
"3","44.436441046844 40.1412582751969",45236,"","","School/kindergarten",7
"4","44.4360846851708 40.1430730557946",45238,"","","beauty_salon",4
"5","44.436398197205 40.1432419851129",45239,"""Nor Zovq""","","supermarket/shop(food)",10
"6","44.4652244160201 40.1386017698095",45282,"ATM (INECOBANK)","","bank/atm",10
"7","44.4641761719151 40.1430709956784",45284,"Hay Post 0043","","post_office",3
"8","44.4649793556106 40.1418489923926",45286,"School  No 52 AFT Hovanes Hovhanisyan","","School/kindergarten",7
"9","44.4674720906925 40.1402033219927",45289,"CONVERSBANK (ATM)","","bank/atm",10
"10","44.4675760257709 40.1400608931276",45290,"???-???????????? ?????? ????","""AR-BE"" Armenian-Belarus Trading House","supermarket/shop(food)",10
"11","44.4675873445435 40.1401253775929",45291,"AMERIABANK (ATM)","","bank/atm",10
"12","44.4675391050127 40.1401643154672",45292,"ABB (ATM)","","bank/atm",10
"13","44.4338373698245 40.1599477747278",45316,"","Vesta","mall/shop(non-food)",14
"14","44.4334908896194 40.1605964783624",45317,"","","supermarket/shop(food)",10
"15","44.4498417549264 40.1575406037383",45344,"?? ????????????? ???????????","EDUCATIONAL COMPLEX OF POLICE OF THE RA","School/kindergarten",7
"16","44.4468067069075 40.1582897729397",45345,"M&S Trading center","","mall/shop(non-food)",14
"17","44.4478481238163 40.1581694203435",45346,"ATM (Anelik Bank)","","bank/atm",10
"18","44.4415105094869 40.1623213586589",45358,"","","bus_stop",4
"19","44.442013566046 40.1622763921866",45360,"??? ????","","supermarket/shop(food)",10
"20","44.4419527501013 40.1623670116117",45361,"","","bus_stop",4
"21","44.4436347556392 40.1613960730972",45366,"","","supermarket/shop(food)",10
"22","44.4432604276604 40.16304370148",45368,"MG","","supermarket/shop(food)",10
"23","44.4404518449246 40.1643378168853",45372,"","","bus_stop",4
"24","44.4418859154441 40.163615693783",45373,"","","healthcare",10
"25","44.4410691671878 40.1652415068452",45378,"?????","""Baldi""","mall/shop(non-food)",14
"26","44.4402473883659 40.1655156869111",45379,"","","bus_stop",4
"27","44.4411658259124 40.1652796751932",45380,"?????????????","AEB","bank/atm",10
"28","44.4420757294637 40.1651489004586",45381,"????????","","mall/shop(non-food)",14
"29","44.4413139581027 40.1653820980639",45382,"","","bus_stop",4
"30","44.4412712881267 40.1656157067546",45383,"","","bus_stop",4
"31","44.4414295712798 40.165413058298",45384,"?????????","Unibank","bank/atm",10
"32","44.4414585868635 40.1654263759997",45385,"?????? ????","Aneliq Bank","bank/atm",10
"33","44.4415988138793 40.1659078709442",45386,"""Baby Susie""","","restaurant/cafe",6
"34","44.4432337476964 40.1636813915823",45388,"","","supermarket/shop(food)",10
"35","44.4435605547968 40.1640665839828",45389,"","","supermarket/shop(food)",10
"36","44.4435053982383 40.1658712818418",45391,"","","healthcare",10
"37","44.4462177714072 40.1628475671479",45394,"? 77 « ??????? ???? »","KINDERGARTEN ?77","School/kindergarten",7
"38","44.4482550606401 40.1621331857878",45395,"","","supermarket/shop(food)",10
"39","44.4512715135326 40.1488644135966",45398,"?????","""Zhokey""","restaurant/cafe",6
"40","44.4567855524096 40.1480451702905",45401,"","","state institutions/NGO",4
"41","44.4569626103521 40.1479945637879",45402,"HayPost 0086","","post_office",3
"42","44.456712519377 40.1485425127871",45404,"Ararat","","bank/atm",10
"43","44.4621824509735 40.1449548772083",45407,"","","healthcare",10
"44","44.4622217073514 40.1449925076114",45408,"ARDSHINBANK (ATM)","","bank/atm",10
"45","44.4627915985677 40.1451900668856",45409,"""Grand Candy""","","supermarket/shop(food)",10
"46","44.4636465252236 40.1453907156543",45410,"""?????? ?????""","""Charbakh Market""","supermarket/shop(food)",10
"47","44.4623228576524 40.1459467884395",45411,"","","supermarket/shop(food)",10
"48","44.463002792491 40.1456476028944",45413,"«???????» ????????????","""Hagoyan""","supermarket/shop(food)",10
"49","44.4630903782312 40.145675756743",45414,"Ucom","","mall/shop(non-food)",14
"50","44.463137270289 40.1457298670338",45415,"","","healthcare",10
"51","44.4632041049462 40.1457219015622",45416,"VTB BANK (ATM)","","bank/atm",10
"52","44.4634592264868 40.1454889797735",45417,"«??????» ????????????","""Evrika""","supermarket/shop(food)",10
"53","44.4637020411081 40.1455965825977",45418,"","Natali Pharm","healthcare",10
"54","44.4638018439362 40.1456393627414",45419,"","beeline","mall/shop(non-food)",14
"55","44.4643208905074 40.1463092152509",45421,"???? ?????","shota puri","restaurant/cafe",6
"56","44.4652300754064 40.145377806032",45422,"?. ?????????? ???. N158 ?????","School No 158 AFT.  Movses Gorgisyan","School/kindergarten",7
"57","44.4682187703567 40.1485311830593",45429,"Kindergarden N64","","School/kindergarten",7
"58","44.4722738553807 40.1502153778533",45435,"?. ?????????? ???. N27 ?????","School No 27 AFT. Derenik Demirchyan","School/kindergarten",7
"59","44.4546944540912 40.1599794926282",45440,"","","playground/attraction",4
"60","44.454233887845 40.1604350753809",45441,"","","place_of_worship",3
"61","44.4582979560219 40.1557430994613",45442,"??????????????????? ??????? ??????","National Bureau of Expertises","state institutions/NGO",4
"62","44.4595083460358 40.1596319679848",45448,"Erablur","","playground/attraction",4
"63","44.4628013003728 40.1570370107412",45451,"?????? ???????????????","Yerevan velodrome","sport/fitness",4
"64","44.4648559270906 40.1576703632919",45452,"???? ????????","GOLDEN KISS (???? ????????)","restaurant/cafe",6
"65","44.4695229444862 40.1595695616524",45465,"","","place_of_worship",3
"66","44.4667317890669 40.162717680187",45469,"Beerhouse","Beerhouse","restaurant/cafe",6
"67","44.4652294465857 40.1655231008785",45477,"","","pub/bar",4
"68","44.4221202842476 40.1871787947705",45618,"","","bus_stop",4
"69","44.4233070485695 40.1857016053752",45619,"6 ? 9 ?????????","","bus_stop",4
"70","44.4246295483308 40.1865800994471",45621,"","","School/kindergarten",7
"71","44.4252347433377 40.1864475814622",45622,"haypost 0081","","post_office",3
"72","44.4255531961059 40.1868113018781",45623,"6 ? 5 ?????????","","bus_stop",4
"73","44.4192490889365 40.1903638556389",45632,"","","School/kindergarten",7
"74","44.4337690978629 40.170621796517",45699,"185","","School/kindergarten",7
"75","44.4342036129659 40.1706540585717",45700,"","","School/kindergarten",7
"76","44.4377266258471 40.1704311755105",45709,"","","bus_stop",4
"77","44.4370638488305 40.1708670563907",45711,"","","bus_stop",4
"78","44.4329434562853 40.1740734062067",45717,"","","bus_stop",4
"79","44.4355440790328 40.171573108834",45719,"","","supermarket/shop(food)",10
"80","44.4374578499141 40.172070484942",45723,"""Tamada""","""Tamada""","restaurant/cafe",6
"81","44.438785559904 40.176182655887",45741,"","Yerevan City (Spari)","supermarket/shop(food)",10
"82","44.438837752022 40.1763215085204",45742,"","","healthcare",10
"83","44.4389231818056 40.1769800079459",45746,"??????","""Qursi""","restaurant/cafe",6
"84","44.4394309096042 40.1769949020116",45748,"ACBA (ATM)","","bank/atm",10
"85","44.442233204133 40.1661300823865",45749,"??????","AmeriaBank (ATM)","bank/atm",10
"86","44.4422657231462 40.1661449101862",45750,"?????????????","ArmEcomonBank (ATM)","bank/atm",10
"87","44.4422989608118 40.1661675637629",45751,"????-?????? ???????","Acba Credit Agricol Bank (ATM)","bank/atm",10
"88","44.4414561614122 40.1685541786817",45754,"","","state institutions/NGO",4
"89","44.4425874098495 40.1662452036911",45755,"???????? ????","Prometey Bank","bank/atm",10
"90","44.4426771515464 40.1663150864152",45756,"","","bank/atm",10
"91","44.444403983017 40.1660674760853",45758,"","","playground/attraction",4
"92","44.4438844872882 40.1666001769795",45759,"??????????","","bank/atm",10
"93","44.4447103983605 40.166453204122",45760,"????? ?????????????","Karen Hambardzumyan","healthcare",10
"94","44.4443843997438 40.1668659080406",45761,"","","bus_stop",4
"95","44.4444400952915 40.1670715725962",45763,"","","bus_stop",4
"96","44.440780358824 40.171291196689",45766,"?76 ???????????","Kindergarten ?76","School/kindergarten",7
"97","44.4443633791662 40.1713113774366",45768,"Unibank (ATM)","","bank/atm",10
"98","44.4475082013128 40.1668521100958",45769,"HayPost 0004","","post_office",3
"99","44.4464041718287 40.1683750155772",45771,"?????????","ATM (Artsakhbank)","bank/atm",10
"100","44.4476133940326 40.1702083603605",45775,"Kindergarten ?167","","School/kindergarten",7
"101","44.4475920141288 40.1712638771639",45776,"Kindergarten ?313","","School/kindergarten",7
"102","44.4403028144189 40.1720036970014",45780,"","","bank/atm",10
"103","44.4403038923973 40.172153403486",45781,"HayPost 0064","","post_office",3
"104","44.4401036579204 40.1733207732607",45784,"","","bus_stop",4
"105","44.4400677253091 40.1736558040599",45787,"","","bus_stop",4
"106","44.4448987750755 40.1727943027548",45790,"????? ???????????? ????","""Anush"" beauty salon","beauty_salon",4
"107","44.4426935008845 40.1733207046208",45791,"ACBA-Credit Agricole Bank","","bank/atm",10
"108","44.4441163424631 40.1734312835002",45792,"INEKOBANK","","bank/atm",10
"109","44.4438801753749 40.1737368673995",45793,"","","bus_stop",4
"110","44.4447508225482 40.1736545685467",45796,"Ucom","","mall/shop(non-food)",14
"111","44.4451240725488 40.1736845640534",45797,"""Shoe Store""","","mall/shop(non-food)",14
"112","44.4451696171337 40.1736552549429",45798,"??-?? ??????????? ??????-????","Dzi-Dzi Toy Store","mall/shop(non-food)",14
"113","44.4421264842772 40.1760912998967",45800,"????????? ???????? ????? ?????????? ?????","Aleksandr Adjemyan music scool","School/kindergarten",7
"114","44.4426125626774 40.1745057631183",45801,"????? ????????????? ???????","Saint Trinity Church","place_of_worship",3
"115","44.442720091017 40.1763617983811",45802,"School ?174","School No174 AFT Khanjyan","School/kindergarten",7
"116","44.4440145633414 40.1756910068344",45803,"VTB Armenia Bank","","bank/atm",10
"117","44.4441070898156 40.1757111176362",45804,"HayPost 0034","","post_office",3
"118","44.4459767534165 40.1717850055045",45805,"","","pub/bar",4
"119","44.4457492999865 40.172923758593",45806,"GOR","","supermarket/shop(food)",10
"120","44.4457511864486 40.1730082548207",45807,"AEB(ATM)","","bank/atm",10
"121","44.4456324291681 40.173138808493",45808,"""Alfa Pharm""","","healthcare",10
"122","44.4453077780244 40.1733822059937",45809,"""Tashir Pizza""","","restaurant/cafe",6
"123","44.4456460835604 40.1733213223804",45810,"""Relado""","","mall/shop(non-food)",14
"124","44.4461323416237 40.1735363023809",45812,"""Rey Optica""","","healthcare",10
"125","44.4455398128623 40.1736472927468",45813,"Ameriabank(ATM)","","bank/atm",10
"126","44.4461717776647 40.1736199055305",45814,"""Lasis""","","mall/shop(non-food)",14
"127","44.4462568481221 40.173680788876",45815,"""Hollywood""","","mall/shop(non-food)",14
"128","44.4499664410878 40.1742264027998",45818,"?????????","Artsakhbank (ATM)","bank/atm",10
"129","44.4462388818164 40.1765843187822",45819,"""??????"" ????? ??????","""DISNEY"" ART SCHOOL","School/kindergarten",7
"130","44.4504119156372 40.17442689714",45820,"??????? ???","VivaCell MTS","mall/shop(non-food)",14
"131","44.4506532031225 40.1743584641846",45821,"??????????","Araratbank (ATM)","bank/atm",10
"132","44.4484961684623 40.1762541070305",45822,"????????? ???","Khnamineri Mot","mall/shop(non-food)",14
"133","44.4358710657962 40.1778149628508",45827,"","","supermarket/shop(food)",10
"134","44.4340904252401 40.1871634911846",45835,"????? ????","","mall/shop(non-food)",14
"135","44.4417948262743 40.1770524877924",45863,"School No 184","School No 184","School/kindergarten",7
"136","44.4409285808458 40.1785289046339",45864,"??? ????","Nor Zovk","supermarket/shop(food)",10
"137","44.4418430658051 40.1797436591071",45865,"Astghik, ??????","Astghik","supermarket/shop(food)",10
"138","44.4428340872265 40.1782584834234",45866,"Kindergarten No169","","School/kindergarten",7
"139","44.443913682535 40.1772757609241",45867,"School No176","School No176","School/kindergarten",7
"140","44.4439902189972 40.1784838802635",45869,"Kindergarden N105","","School/kindergarten",7
"141","44.4449288686375 40.1793773613452",45870,"Kindergarden N277","","School/kindergarten",7
"142","44.441593154493 40.1811310703046",45876,"","","bus_stop",4
"143","44.4450975722479 40.1803494839491",45880,"????????? ??????","Hardware shop","mall/shop(non-food)",14
"144","44.4440027055796 40.1808973777515",45881,"HayPost 0084","","post_office",3
"145","44.4444548276621 40.180826960983",45882,"?????????","","mall/shop(non-food)",14
"146","44.4447733702619 40.1805273114217",45883,"","","bus_stop",4
"147","44.4460720646681 40.1780153779532",45884,"AREXIMBANK (ATM)","","bank/atm",10
"148","44.4463830614195 40.1780319190362",45885,"","","healthcare",10
"149","44.4460610153901 40.1783169603856",45886,"???????","Leopard","mall/shop(non-food)",14
"150","44.446198008471 40.1785418765888",45887,"","","mall/shop(non-food)",14
"151","44.4464029141873 40.1787293862621",45888,"VTB (ATM)","","bank/atm",10
"152","44.4467962864502 40.179462192706",45889,"ACBA (ATM)","","bank/atm",10
"153","44.4468582702048 40.1796685740609",45890,"?????? ? ?? ??????","""Linum chi Linum""","restaurant/cafe",6
"154","44.4486173511941 40.1776770055355",45891,"Gaga","","supermarket/shop(food)",10
"155","44.448775095358 40.1783151758781",45892,"","","playground/attraction",4
"156","44.4503153467442 40.1785215607219",45894,"Kindergarten N290","","School/kindergarten",7
"157","44.4458387721888 40.1802077569728",45895,"??????","Ameria (ATM)","bank/atm",10
"158","44.4459262680975 40.1802207972396",45896,"Yerevan City","","supermarket/shop(food)",10
"159","44.4498192970443 40.1812979146276",45903,"Yerevan City","","supermarket/shop(food)",10
"160","44.4434654232082 40.1825216101408",45907,"??????? ???????","","healthcare",10
"161","44.445325564667 40.1826146046069",45917,"","","supermarket/shop(food)",10
"162","44.4486056730955 40.1838454824489",45920,"","","bus_stop",4
"163","44.4487665613628 40.183803069522",45921,"","","bus_stop",4
"164","44.4468361716488 40.1857696151265",45925,"","","bus_stop",4
"165","44.447078626944 40.1858829188089",45926,"","","bus_stop",4
"166","44.4542878765936 40.1667849051407",45936,"School ?91","","School/kindergarten",7
"167","44.4557621916379 40.1693066585561",45945,"","","mall/shop(non-food)",14
"168","44.4555969914572 40.1711357910029",45947,"School ?112 Shavarsh Simonyan","","School/kindergarten",7
"169","44.4558991847187 40.1713349902765",45948,"Kindergarten N2","","School/kindergarten",7
"170","44.4564883897136 40.1714346583359",45952,"""Mets Khanut""","","supermarket/shop(food)",10
"171","44.4522790639553 40.1724828115024",45954,"","","supermarket/shop(food)",10
"172","44.456171913239 40.1722173769954",45956,"","","beauty_salon",4
"173","44.4508524494526 40.1743026607306",45957,"??? ?????","Mer Tun","restaurant/cafe",6
"174","44.4525177463263 40.1745527120123",45959,"??????? ?????????? ??????","Malatia Market Bus Stop","bus_stop",4
"175","44.4524323165427 40.1748114108177",45960,"??????? ?????????? ??????","Malatia Market Bus Stop","bus_stop",4
"176","44.4548609119134 40.174689302908",45961,"????-????","VIVA Cell","mall/shop(non-food)",14
"177","44.4557628204586 40.1748252071445",45962,"ASHIB (ATM)","","bank/atm",10
"178","44.456709285442 40.1720317712825",45966,"HayPost 0032","","post_office",3
"179","44.4567386603518 40.1720881943746",45967,"???????????","Converse bank (ATM)","bank/atm",10
"180","44.4573958678136 40.1721691223045",45968,"ARARATBANK  (ATM)","","bank/atm",10
"181","44.4564481451889 40.1721998735197",45969,"","","healthcare",10
"182","44.4573664030723 40.1724191128067",45970,"?????????","Unibank (ATM)","bank/atm",10
"183","44.4575044741315 40.1727054819043",45971,"""Yerevan City""","","supermarket/shop(food)",10
"184","44.4573919152264 40.1728547063579",45972,"VTB bank (ATM)","","bank/atm",10
"185","44.4575484017489 40.1728216903042",45973,"","","healthcare",10
"186","44.4571568261165 40.1730941923872",45975,"????? ?????","Gold Market","mall/shop(non-food)",14
"187","44.4569680900753 40.1735186619659",45976,"AREXIMBANK (ATM)","","bank/atm",10
"188","44.4571527836977 40.1738184111184",45977,"","","bus_stop",4
"189","44.4572585154067 40.1737468887709",45978,"""Karas"" Malatia","","restaurant/cafe",6
"190","44.4572197081864 40.1741132855673",45981,"","","bus_stop",4
"191","44.4575554984396 40.1731252177439",45982,"AMERIABANK (ATM)","","bank/atm",10
"192","44.4576821608947 40.1731456038665",45983,"""Urartu""","","supermarket/shop(food)",10
"193","44.4575718477778 40.1732644198333",45984,"??????????","Ararat bank (ATM)","bank/atm",10
"194","44.457898115889 40.1741638039662",45986,"AEB (ATM)","","bank/atm",10
"195","44.4597387639061 40.1729027546402",45988,"School ?90","","School/kindergarten",7
"196","44.4584433034349 40.1756352044762",45994,"Kamurj UCO CJSC","","bank/atm",10
"197","44.464123800134 40.1668674869097",45995,"","","School/kindergarten",7
"198","44.4651794104244 40.1669992880287",45996,"VTB (ATM)","","bank/atm",10
"199","44.4652196549491 40.1671017769511",45997,"HayPost 0068","","post_office",3
"200","44.4663354523635 40.169229296706",45999,"School ?116","","School/kindergarten",7
"201","44.4675466508611 40.1682198777944",46001,"","","state institutions/NGO",4
"202","44.4683914265543 40.1692802992488",46002,"Kindergarten N2 ANUSH","","School/kindergarten",7
"203","44.465213007416 40.1729983706208",46006,"Astxik malatya hivandanoc","Malacia Medical centre","healthcare",10
"204","44.4525133445814 40.1782587579632",46012,"????????????","","playground/attraction",4
"205","44.4508748175031 40.17874929026",46013,"?3","","supermarket/shop(food)",10
"206","44.4575306151062 40.1782374811218",46015,"School N92 AFT Tekeyan","","School/kindergarten",7
"207","44.4581048182358 40.1773583985646",46016,"","","playground/attraction",4
"208","44.4573172652263 40.1792897158877",46020,"","","place_of_worship",3
"209","44.458737771185 40.1784366595502",46021,"?????????? ???????","Ardshinbank Malatia br.","bank/atm",10
"210","44.4593590460355 40.178392664641",46024,"??????? ????","""Textile Land""","mall/shop(non-food)",14
"211","44.4594375587914 40.1787825779675",46025,"""Sport City""","""Sport City""","sport/fitness",4
"212","44.4600678167947 40.1820882748371",46035,"""IDEAL SYSTEM"" CHAIN STORE","","mall/shop(non-food)",14
"213","44.4604189682393 40.1812506958728",46036,"ArrStudio","","state institutions/NGO",4
"214","44.4552097277382 40.1828459578141",46038,"School N105","","School/kindergarten",7
"215","44.4541295934406 40.1848946792273",46039,"School No.121. E. Boyajyan","","School/kindergarten",7
"216","44.4594893017517 40.1833447611549",46044,"TOSP Made in Armenia","","mall/shop(non-food)",14
"217","44.459608687853 40.1833182014107",46045,"ATM (ACBA-Credit Agricole Bank)","","bank/atm",10
"218","44.4595041239539 40.183569180284",46046,"JAVAKH","","restaurant/cafe",6
"219","44.4605528172166 40.1830732610572",46047,"","","bus_stop",4
"220","44.460505116675 40.1831045563716",46048,"555","","supermarket/shop(food)",10
"221","44.4608093760617 40.1830097095629",46049,"","","bus_stop",4
"222","44.4605105065667 40.1833713208887",46054,"","","healthcare",10
"223","44.4609650541005 40.183286288526",46059,"","","healthcare",10
"224","44.4609765525361 40.1833252016544",46060,"HayPost 0065","","post_office",3
"225","44.4610037714892 40.1834595787409",46061,"Conversbank","","bank/atm",10
"226","44.4615197637884 40.1848195998817",46063,"ARMECONOMBANK (ATM)","","bank/atm",10
"227","44.4608505189018 40.1853907910224",46067,"ATM (VTB)","","bank/atm",10
"228","44.4618723525374 40.1858466836119",46071,"?????? ????????? ????? ??? 89 ?????","School No. 89 after Daniel Varoujan","School/kindergarten",7
"229","44.4621195689036 40.1873800057217",46072,"Armeconombank","","bank/atm",10
"230","44.4621325944752 40.1874623565527",46073,"Polyklinik N15","","healthcare",10
"231","44.4621510997701 40.1879693609668",46075,"""Svetofor"" NGO","","state institutions/NGO",4
"232","44.4312427657894 40.1914821221884",46085,"Arvasar","","restaurant/cafe",6
"233","44.4588222128217 40.1890792948667",46109,"","Alpha Food Service","supermarket/shop(food)",10
"234","44.4614735005513 40.190363581148",46111,"Armbusinessbank","","bank/atm",10
"235","44.4621219045234 40.1881841573085",46126,"""Maxima""","","restaurant/cafe",6
"236","44.463187755608 40.1905172958567",46132,"«????? ????»","""Karas Auto""","restaurant/cafe",6
"237","44.4650921840103 40.1907194576174",46134,"","","bus_stop",4
"238","44.463625863972 40.1912004986236",46138,"HayPost 0031","","post_office",3
"239","44.4643877251645 40.1909028849256",46139,"","","bus_stop",4
"240","44.4663089520626 40.1911303670374",46151,"VTB","","bank/atm",10
"241","44.468610345989 40.1909290985895",46160,"??? ?????????","""Hin Tonratun""","restaurant/cafe",6
"242","44.4718646727688 40.1910767046593",46168,"""Valem Plaza""","","restaurant/cafe",6
"243","44.4705678648247 40.1934557188446",46170,"?????????? ? ?????","Fruits and vegetables","supermarket/shop(food)",10
"244","44.4719476771011 40.1934066558223",46171,"?????????","""Arminashogh""","supermarket/shop(food)",10
"245","44.4681973904529 40.1955475546884",46190,"School No.94 AFT. Gurgen Margaryan","","School/kindergarten",7
"246","44.4712207603732 40.1936718015796",46191,"???? ???????? ????? ??? 131 ????????? ?????","Secondary school N 131 after Peo Yavorov","School/kindergarten",7
"247","44.470475607845 40.1949332883127",46192,"HayPost 0099","","post_office",3
"248","44.4609381944735 40.2034621179466",46196,"""VLV Electronics""","","mall/shop(non-food)",14
"249","44.4559039457897 40.2081853031246",46198,"Ameriabank","","bank/atm",10
"250","44.4597316672154 40.2094961200805",46203,"Court of Achapnyak and Davitashen districts","","state institutions/NGO",4
"251","44.4639268894238 40.2000356748816",46204,"""????""","""Shant""","restaurant/cafe",6
"252","44.4620918109614 40.2040413165413",46211,"????? ????","Yerevan City","supermarket/shop(food)",10
"253","44.4646386246234 40.2034711057854",46212,"School No.156","","School/kindergarten",7
"254","44.4685121601285 40.2007275641227",46213,"Coderiders","","state institutions/NGO",4
"255","44.4689614076021 40.2034803680607",46217,"????????","Pharmacy","healthcare",10
"256","44.4688591793227 40.2037915797773",46218,"????????","Pharmacy","healthcare",10
"257","44.4620574953175 40.2059886142636",46222,"HayPost 0088","","post_office",3
"258","44.4622134428508 40.2068647873705",46224,"Ardshinbank","","bank/atm",10
"259","44.4633808035625 40.2066097783253",46225,"","","bank/atm",10
"260","44.4624088264251 40.2077624225546",46226,"ACBA","","bank/atm",10
"261","44.4617845871342 40.2093554144559",46228,"17 ????????????","","supermarket/shop(food)",10
"262","44.4658660826276 40.2075286845467",46231,"School No. 168","","School/kindergarten",7
"263","44.4666314472496 40.2091981750602",46233,"","AEB","bank/atm",10
"264","44.4677218223415 40.2055690131407",46236,"","","supermarket/shop(food)",10
"265","44.4696942532109 40.2070820622784",46239,"Kindergarden No. 35","","School/kindergarten",7
"266","44.4712417809508 40.2046926174604",46240,"HayPost 0078","","post_office",3
"267","44.4714296186767 40.2052150670086",46241,"Kindergarden No. 39","","School/kindergarten",7
"268","44.4678143488158 40.2081542938019",46243,"""Alfa Pharm""","","healthcare",10
"269","44.4685511470118 40.2078662220043",46245,"?????","""Tsiran""","supermarket/shop(food)",10
"270","44.4682427553748 40.2089337074529",46252,"?????? ?????","Gevorg Chaush","playground/attraction",4
"271","44.4686488837147 40.2087132826897",46253,"?????","""Krpak""","supermarket/shop(food)",10
"272","44.4688919678306 40.2091760160759",46256,"?????????","Inecobank","bank/atm",10
"273","44.46906237824 40.2093672142562",46257,"57 ??????","57 Bus Stop","bus_stop",4
"274","44.4691156483363 40.2093926661441",46258,"48 ??????","48 Microbus Stop","bus_stop",4
"275","44.4701726060996 40.2086337704377",46263,"","","healthcare",10
"276","44.4360832478663 40.2111482059107",46384,"","","supermarket/shop(food)",10
"277","44.434907622654 40.2123791147044",46385,"108 ?????","School No 108","School/kindergarten",7
"278","44.4365540549068 40.2136397731834",46386,"","","supermarket/shop(food)",10
"279","44.4395345751879 40.2165379570959",46391,"??? ???? ????????","""Msho Tun""","restaurant/cafe",6
"280","44.4398307497371 40.2107971015952",46393,"","","supermarket/shop(food)",10
"281","44.4622617722131 40.2122775173831",46405,"?????? ??????","","supermarket/shop(food)",10
"282","44.4722315447308 40.211162063449",46406,"HayPost 0048","","post_office",3
"283","44.4689844044733 40.2152016894451",46408,"HayPost 0097","","post_office",3
"284","44.4401706722406 40.2331347014833",46440,"Conversbank","","bank/atm",10
"285","44.4720932041771 40.2326755607008",46463,"","","playground/attraction",4
"286","44.4732618225302 40.1174170199554",46511,"????? ?????? ???????","Saint Kiraki Church","place_of_worship",3
"287","44.4738300967789 40.1175849139112",46512,"????? ????? ???????","Saint Gevorg Church","place_of_worship",3
"288","44.4733176977409 40.119614790476",46515,"School ?140","","School/kindergarten",7
"289","44.4733927968986 40.120511107086",46517,"HayPost 0072","","post_office",3
"290","44.4752139514741 40.1201563050584",46518,"Kindergarten N131","","School/kindergarten",7
"291","44.474049914529 40.1210340674732",46520,"School N98","","School/kindergarten",7
"292","44.5490912207771 40.0895024605713",46613,"??????? 0071","HayPost 0071","post_office",3
"293","44.5428436176391 40.1159903854796",46661,"Vorsord Shooting Ground","","restaurant/cafe",6
"294","44.4801324971493 40.1311431803832",46692,"""Renaissance""","","restaurant/cafe",6
"295","44.4858825234514 40.1330359090395",46708,"","Market","supermarket/shop(food)",10
"296","44.4808752242262 40.1406207865555",46716,"","Market","supermarket/shop(food)",10
"297","44.4809261587028 40.1389844948372",46717,"","Market","supermarket/shop(food)",10
"298","44.4819695519053 40.1391463608474",46718,"","Market","supermarket/shop(food)",10
"299","44.4836086179727 40.1389209707355",46722,"","Inessa","supermarket/shop(food)",10
"300","44.4817138913754 40.1425762912923",46729,"","Market","supermarket/shop(food)",10
"301","44.4816062732044 40.1429250706198",46733,"","Zoro Market","supermarket/shop(food)",10
"302","44.4815321621935 40.1436556541576",46734,"","Tntesakan","supermarket/shop(food)",10
"303","44.4840116920407 40.1349674571582",46741,"","Market","supermarket/shop(food)",10
"304","44.4873787573886 40.1340299173155",46745,"","Market","supermarket/shop(food)",10
"305","44.4836619779006 40.1379536801841",46753,"","Market","supermarket/shop(food)",10
"306","44.4889707517351 40.1364364106881",46758,"SCHOOL N97","","School/kindergarten",7
"307","44.4897623471635 40.1365460194872",46765,"Chust Shoes, Made in Armenia","","mall/shop(non-food)",14
"308","44.4903281061294 40.1365721167942",46766,"HayPost 0007","","post_office",3
"309","44.4863205419839 40.1405574700028",46781,"","Kodak","mall/shop(non-food)",14
"310","44.4842408522697 40.1422012776964",46802,"","Market","supermarket/shop(food)",10
"311","44.484271844147 40.1423696598124",46803,"","Tntesakan","mall/shop(non-food)",14
"312","44.4862646667733 40.1420204656039",46807,"","Market","supermarket/shop(food)",10
"313","44.4842882833167 40.1431281982158",46808,"","Grenakan","mall/shop(non-food)",14
"314","44.4849218650866 40.1427893772017",46809,"137","","School/kindergarten",7
"315","44.4837800165289 40.1433896949165",46810,"139","","School/kindergarten",7
"316","44.4865603023333 40.1437951913549",46817,"","Market","supermarket/shop(food)",10
"317","44.4872293675569 40.1439472948138",46818,"","Bakery","supermarket/shop(food)",10
"318","44.4880245562464 40.1430392698805",46819,"SilGrig","Market","supermarket/shop(food)",10
"319","44.4880877078108 40.1435306060616",46820,"","Market","supermarket/shop(food)",10
"320","44.4885796252604 40.1439392604636",46821,"HayPost 0055","","post_office",3
"321","44.4946400194932 40.1410786967007",46864,"""VLV Electronics""","","mall/shop(non-food)",14
"322","44.4948371098666 40.1417935055739",46868,"","","bus_stop",4
"323","44.4949220904924 40.1418334038974",46870,"Marshrutkas to Yeghegnadzor","","bus_stop",4
"324","44.4959744668478 40.1422924732825",46882,"","","bus_stop",4
"325","44.4947567106486 40.1427483120349",46884,"","","bus_stop",4
"326","44.5104157833553 40.1430694849264",46906,"??????? ?????","","state institutions/NGO",4
"327","44.5105057945467 40.1436023662547",46909,"","H  D","supermarket/shop(food)",10
"328","44.5145111129041 40.1390415634661",46912,"","Market MG","supermarket/shop(food)",10
"329","44.5162772905842 40.1387108943912",46915,"","Market","supermarket/shop(food)",10
"330","44.51652801038 40.1405903644014",46917,"","Market","supermarket/shop(food)",10
