"NorthEast_Lon","NorthEast_Lat","SouthEast_Lon","SouthEast_Lat","SouthWest_Lon","SouthWest_Lat","NorthWest_Lon","NorthWest_Lat"
44.5996284383538,40.2425527942969,44.5996284383538,40.2025895543349,44.5479230310912,40.2025895543349,44.5479230310912,40.2425527942969
44.6066886612661,40.2101440861169,44.6066886612661,40.1600883181246,44.5450026449625,40.1600883181246,44.5450026449625,40.2101440861169
44.5618464528616,40.2363622751978,44.5618464528616,40.1935147896142,44.5163607102682,40.1935147896142,44.5163607102682,40.2363622751978
44.5740491201705,40.2427223567474,44.5740491201705,40.1866369532031,44.4805896395801,40.1866369532031,44.4805896395801,40.2427223567474
44.5135917515684,40.233447070504,44.5135917515684,40.2082233282764,44.4504111504276,40.2082233282764,44.4504111504276,40.233447070504
44.4907433004439,40.1968446426675,44.4907433004439,40.1495658645985,44.4003407367861,40.1495658645985,44.4003407367861,40.1968446426675
44.42587662807,40.1577263327839,44.42587662807,40.1448521515387,44.3620172266004,40.1448521515387,44.3620172266004,40.1577263327839
44.5256751406317,40.166219934836,44.5256751406317,40.0842427725962,44.4224456115524,40.0842427725962,44.4224456115524,40.166219934836
44.5478752323561,40.1984039913902,44.5478752323561,40.1580358587389,44.4770743195009,40.1580358587389,44.4770743195009,40.1984039913902
44.5604288123296,40.1968816858775,44.5604288123296,40.1635128942809,44.5263361621627,40.1635128942809,44.5263361621627,40.1968816858775
44.6206943626009,40.1700076931323,44.6206943626009,40.1000233500963,44.5056766162199,40.1000233500963,44.5056766162199,40.1700076931323
44.6065191231045,40.1329957336031,44.6065191231045,40.0654718595988,44.5028751440174,40.0654718595988,44.5028751440174,40.1329957336031
44.4936696978464,40.2339562800465,44.4936696978464,40.1853554589157,44.3958788414524,40.1853554589157,44.3958788414524,40.2339562800465
