"","longitude","latitude","district","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"Nor Nork.16",44.5642037011634,40.1924923156879,"Nor Nork",20,4.5,8,3.8,9.5,4.5,15,15,9.5,0,0,0,3.6,2.85,96.25
"Nor Nork.17",44.5496819691417,40.1679594074253,"Nor Nork",14.4,4.75,5.4,2.5,6,5,9,8.55,7.2,0,0,4.5,5,4.75,77.05
"Nor Nork.18",44.572833457479,40.1658055351926,"Nor Nork",16,0,8,3,5.4,2.25,10.8,12,5.4,0,0,0,4.5,2.375,69.725
"Nor Nork.19",44.5659484719379,40.1875159205587,"Nor Nork",20,4.5,9.5,4.5,10,4.5,15,15,9,0,0,0,3.6,3.8,99.4
"Nor Nork.20",44.5735617413893,40.1864828736644,"Nor Nork",20,4.5,10,4.5,8,3.8,15,12,7.2,0,0,0,2.25,3.8,91.05
"Nork-Marash.1",44.5567370464821,40.1924280112216,"Nork-Marash",19,2.7,9.5,3,8,3.6,12,14.25,9,0,0,0,4.5,2.85,88.4
"Nork-Marash.2",44.547877609148,40.1827394954049,"Nork-Marash",12,3.6,9.5,2.5,9,2.7,12,11.4,5.7,0,4.75,2.25,3.6,2.375,81.375
"Nork-Marash.3",44.5299941212983,40.1739836748447,"Nork-Marash",16,3,9,4,9,4.5,12,12,9,0,3.6,3.6,3.8,0,89.5
"Nork-Marash.4",44.5493610555592,40.1832383322441,"Nork-Marash",12,3.6,9.5,2.7,7.2,2.7,12,9,6,0,4.5,4.5,3.6,2.375,79.675
"Nork-Marash.5",44.5406817825839,40.1904864954385,"Nork-Marash",16,4.5,9.5,3,8,3,10.8,11.4,8,0,2.5,2.375,3,4.75,86.825
"Nork-Marash.6",44.5351807048721,40.1756486495713,"Nork-Marash",16,2.7,9,3.8,8,4,14.25,12,8,0,2.85,2.7,3,0,86.3
"Nork-Marash.7",44.5339347769287,40.1920954917211,"Nork-Marash",16,3.6,8,3,9,3.6,12,12,9.5,0,3,2.85,4,0,86.55
"Nork-Marash.8",44.5456208178097,40.1868007980605,"Nork-Marash",12,4.5,10,2.5,9,2.5,13.5,12,6,0,2.25,2.25,3.6,2.375,82.475
"Nork-Marash.9",44.5521323704399,40.1863516083763,"Nork-Marash",14.4,3.6,9,2.85,7.2,3.6,10.8,10.8,7.2,0,0,4.5,4.5,2.85,81.3
"Nork-Marash.10",44.5491647216042,40.1751238743802,"Nork-Marash",14.4,2.7,7.6,2.5,6,2.5,12,9,5.7,0,4.5,4.5,2.25,2.375,76.025
"Nork-Marash.11",44.5449685725967,40.1820199296864,"Nork-Marash",12,3.6,10,2.5,9,2.5,15,11.4,5.4,0,2.25,2.25,2.7,2.375,80.975
"Nork-Marash.12",44.5522181703632,40.1897037262839,"Nork-Marash",15.2,3.6,9,2.7,7.2,2.7,9,11.4,8,0,0,0,4.5,2.375,75.675
"Nork-Marash.13",44.5393221787586,40.1703219946251,"Nork-Marash",18,2.5,7.2,2.85,9.5,3,11.4,8.55,9,0,2.25,2.25,2.85,0,79.35
"Nork-Marash.14",44.5535387878706,40.183410830275,"Nork-Marash",16,2.7,8,3,7.6,3.6,12,12,5.7,0,0,4.5,3.6,2.85,81.55
"Nork-Marash.15",44.544834778588,40.1688070391096,"Nork-Marash",14.4,5,7.2,2.375,7.6,2.5,11.4,7.5,9,0,4.5,4.5,2.375,0,78.35
"Nork-Marash.16",44.5462313667113,40.192647991207,"Nork-Marash",15.2,3.6,8,3.6,7.2,2.85,10.8,9,8,0,5,4.75,3.6,4.75,86.35
"Nork-Marash.17",44.549121086339,40.1925330047966,"Nork-Marash",16,3.6,8,3,7.2,3,9,10.8,9.5,0,4.5,4.5,3.6,2.375,85.075
"Nork-Marash.18",44.5318526669598,40.1822067570822,"Nork-Marash",19,3.6,9,4,9.5,4,12,13.5,9,0,3.6,3.6,4.5,0,95.3
"Nork-Marash.19",44.5401578849043,40.1687131469135,"Nork-Marash",18,2.25,7.2,2.5,9.5,2.5,11.4,8.1,9.5,0,2.25,2.25,2.5,0,77.95
"Nork-Marash.20",44.5390240058927,40.1850481524717,"Nork-Marash",15.2,4.5,10,2.7,9.5,3,13.5,15,7.2,0,2.7,2.7,3,4.75,93.75
"Nubarashen.1",44.5555426699214,40.0942886313413,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.2",44.5494734677658,40.0956960464049,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.3",44.5618945108774,40.1006612807885,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.4",44.5149836236829,40.0705919296312,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.5",44.5878471076215,40.1133296047808,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.6",44.5695411858753,40.1018866373941,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.7",44.5463067103661,40.0819033818781,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.8",44.5503313171971,40.0849298385411,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.9",44.5171633335851,40.0707175198882,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.10",44.5694263752957,40.1086894457307,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.11",44.5312344929627,40.0938145579437,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.12",44.5194773354707,40.0919555993009,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.13",44.5524052348211,40.0933885749288,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.14",44.5334915837835,40.0838243090154,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.15",44.5096771026673,40.0732730118532,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.16",44.5382109387503,40.0978834939672,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.17",44.5048641787964,40.0732564716086,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.18",44.5506774645888,40.0849584561578,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nubarashen.19",44.5673132987718,40.0978441716546,"Nubarashen",0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
"Nubarashen.20",44.5596714520515,40.0918811642241,"Nubarashen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shengavit.1",44.4533239148219,40.127577142504,"Shengavit",9.5,3.6,5,4.5,5,0,0,15,10,0,0,0,0,0,52.6
"Shengavit.2",44.4476654371046,40.1147249903092,"Shengavit",18,2.7,10,0,0,0,0,0,0,0,0,0,0,0,30.7
"Shengavit.3",44.4497482855857,40.1260724907728,"Shengavit",20,4.5,10,4.5,4.5,0,0,15,0,0,0,0,0,0,58.5
"Shengavit.4",44.4433170292625,40.115041758442,"Shengavit",18,2.7,0,0,0,0,0,0,0,0,0,0,0,0,20.7
"Shengavit.5",44.4966275635965,40.1218777575625,"Shengavit",10,4.75,5,0,9.5,2.25,15,13.5,4.5,0,0,0,0,0,64.5
"Shengavit.6",44.4811148768983,40.1077566340986,"Shengavit",10.8,2.85,5.7,0,0,0,0,0,9,0,0,0,0,0,28.35
"Shengavit.7",44.478216002895,40.1178836180571,"Shengavit",14.4,4.75,10,0,0,4.5,0,0,5.4,0,0,0,0,0,39.05
"Shengavit.8",44.5070610519303,40.1171704536764,"Shengavit",10,0,4.5,4.5,10,4.75,13.5,6.75,9,0,0,0,0,0,63
"Shengavit.9",44.4950138546922,40.1373983124544,"Shengavit",16,0,8,2.85,7.2,4.75,14.25,9,5.7,2.375,2.25,0,0,0,72.375
"Shengavit.10",44.4810540087954,40.1593551234646,"Shengavit",20,3.6,8,3.8,8,4.5,12,14.25,8,3.8,2.375,0,0,0,88.325
"Shengavit.11",44.4969060274317,40.1019957352052,"Shengavit",18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Shengavit.12",44.5001200733693,40.1291539208429,"Shengavit",11.4,0,5.4,5,5,2.85,8.55,6.75,4.5,0,4.5,0,0,0,53.95
"Shengavit.13",44.4618196865952,40.1432604983144,"Shengavit",20,2.25,9.5,2.25,9.5,2.5,6.75,15,9,4.75,0,0,0,0,81.5
"Shengavit.14",44.4521767772587,40.1167960398353,"Shengavit",9,2.7,5,0,0,0,0,0,9,0,0,0,0,0,25.7
"Shengavit.15",44.4492487532256,40.1362783178863,"Shengavit",10.8,2.7,5.7,2.7,5.7,4.5,0,8.1,5.4,0,0,0,0,0,45.6
"Shengavit.16",44.4448653911902,40.1497917511052,"Shengavit",12,2.7,7.2,2.7,7.2,3.6,8.55,7.5,7.2,0,0,0,0,0,58.65
"Shengavit.17",44.4870330571161,40.1159970510482,"Shengavit",10.8,2.85,6,0,0,4.5,0,0,4.5,0,0,0,0,0,28.65
"Shengavit.18",44.4873155435206,40.14887121582,"Shengavit",20,2.25,10,5,10,5,15,15,10,3.8,3.6,0,0,0,99.65
"Shengavit.19",44.4563295342829,40.1410353475476,"Shengavit",16,2.25,7.6,2.25,8,5,0,12,7.6,0,0,0,0,0,60.7
"Shengavit.20",44.4367851729903,40.1329476646651,"Shengavit",10.8,3.6,7.2,2.7,9,4.5,0,0,9,0,0,0,0,0,46.8
