"","longitude","latitude","district","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"Avan.1",44.5614107411226,40.2184355391978,"Avan",20,2.375,7.2,4.5,10,4.5,12,14.25,10,0,0,0,4.75,0,89.575
"Avan.2",44.5684579345821,40.2115786422459,"Avan",18,2.25,9.5,4,8,3,15,12,8,0,0,0,3.8,0,83.55
"Avan.3",44.5581475032353,40.2049051228762,"Avan",16,5,9,4,8,3,14.25,13.5,9,0,0,0,2.7,0,84.45
"Avan.4",44.5558281272125,40.2051835842122,"Avan",18,5,8,4,8,3.6,14.25,12,9,0,0,0,2.7,0,84.55
"Avan.5",44.589464114009,40.2116146474373,"Avan",18,2.7,7.2,4,8,3.8,14.25,13.5,6,0,0,0,3.6,0,81.05
"Avan.6",44.5568007716438,40.2144858164924,"Avan",18,2.7,7.2,3.6,8,3.6,13.5,11.4,8,0,0,0,3.8,0,79.8
"Avan.7",44.5612225277213,40.2065465353012,"Avan",20,5,8,4.75,9.5,3.6,15,15,8,0,0,0,2.85,0,91.7
"Avan.8",44.556612683745,40.227768917304,"Avan",16,2.7,5.7,3,7.6,3.6,7.5,13.5,6,0,0,0,2.85,0,68.45
"Avan.9",44.5688326554424,40.2218053668076,"Avan",20,2.7,9.5,5,8,3.6,13.5,14.25,9,0,0,0,3.8,0,89.35
"Avan.10",44.5827821363546,40.2181559147541,"Avan",20,4.5,9,5,10,4.75,15,15,9.5,0,0,0,3.6,0,96.35
"Avan.11",44.5653131730678,40.2167651385301,"Avan",20,2.375,8,4.5,10,3.6,14.25,14.25,10,0,0,0,4.75,0,91.725
"Avan.12",44.5739211843927,40.2120886552323,"Avan",18,2.7,9,4,8,3.8,15,13.5,7.6,0,0,0,3.6,0,85.2
"Avan.13",44.5632224261201,40.2191608611611,"Avan",20,2.375,7.6,4.5,10,4.5,12,14.25,10,0,0,0,4.75,0,89.975
"Avan.14",44.5555262246009,40.2073601172386,"Avan",16,2.25,8,4,8,3.8,13.5,12,9,0,0,0,2.7,0,79.25
"Avan.15",44.5532903981821,40.2115821593047,"Avan",18,2.5,7.2,3.8,8,3.8,13.5,12,7.6,0,0,0,3.6,0,80
"Avan.16",44.5654196902321,40.2181052448325,"Avan",20,2.375,8,4.5,10,3.6,12,14.25,10,0,0,0,4.75,0,89.475
"Avan.17",44.595236775558,40.2117488387086,"Avan",14.4,2.7,5.4,3,6,2.85,11.4,10.8,5,0,0,0,2.7,0,64.25
"Avan.18",44.5627255316392,40.2080447537708,"Avan",20,4.75,9,4.75,9,3.6,15,13.5,8,0,0,0,3.6,0,91.2
"Avan.19",44.5641725297837,40.2091047648199,"Avan",20,4.75,9.5,4.75,9,3.6,15,13.5,8,0,0,0,3.6,0,91.7
"Avan.20",44.5812173276562,40.2193279217746,"Avan",20,4.5,9,4.75,10,4.75,15,15,9.5,0,0,0,3.6,0,96.1
"Davtashen.1",44.5031830836482,40.2181969058896,"Davtashen",16,2.7,7.6,4,8,3.6,11.4,13.5,8,0,3.6,0,3.6,0,82
"Davtashen.2",44.4698783290919,40.2167810088022,"Davtashen",18,2.25,6,3.6,8,3,11.4,11.4,5,0,2.25,0,2.25,0,73.15
"Davtashen.3",44.4999413602166,40.2162169579817,"Davtashen",16,3.6,7.6,4,8,3.8,12,12,9,0,3.6,0,3.6,0,83.2
"Davtashen.4",44.4809379742239,40.2151853958076,"Davtashen",18,3.6,7.2,3.6,9,3,13.5,12,8,0,3.6,0,2.5,0,84
