"","X","TYPE","lon","lat","cell","districtName","districtpoints"
"896",896,"Cinema, theater",44.4978893157074,40.151948692586,8,"Hello",0
"897",897,"Cinema, theater",44.4995071815341,40.1562169734705,8,"Hello",0
"898",898,"Cinema, theater",44.4883769653323,40.1790709792364,6,"Hello",0
"899",899,"Cinema, theater",44.509075766446,40.2065345858059,4,"Hello",0
"900",900,"Cinema, theater",44.5179915456409,40.189196504583,9,"Hello",0
"901",901,"Cinema, theater",44.4876463655118,40.2121510178723,5,"Hello",0
"902",902,"Cinema, theater",44.4993405440489,40.2109195561205,4,"Hello",0
"903",903,"Hospitals, pharmacies",44.4775091470251,40.1563808581342,8,"Hello",0
"904",904,"Hospitals, pharmacies",44.5103274789629,40.1502512200969,11,"Hello",0
"905",905,"Hospitals, pharmacies",44.4939730203948,40.1790101693611,9,"Hello",0
"906",906,"Hospitals, pharmacies",44.5018484606591,40.1771859850345,9,"Hello",0
"907",907,"Hospitals, pharmacies",44.511799727882,40.1797965754837,9,"Hello",0
"908",908,"Hospitals, pharmacies",44.5135537783058,40.1815517148718,9,"Hello",0
"909",909,"Hospitals, pharmacies",44.4986512667314,40.1929305711127,4,"Hello",0
"910",910,"Hospitals, pharmacies",44.4972568119159,40.2052687868061,4,"Hello",0
"911",911,"Hospitals, pharmacies",44.5103899118751,40.2095117616434,4,"Hello",0
"912",912,"Hospitals, pharmacies",44.5279235889167,40.1894952923698,9,"Hello",0
"913",913,"Hospitals, pharmacies",44.5308732969836,40.2047698702671,3,"Hello",0
"914",914,"Hospitals, pharmacies",44.4897026091971,40.2141686020403,5,"Hello",0
"915",915,"Hospitals, pharmacies",44.5610114154397,40.1766704577298,2,"Hello",0
"916",916,"Hospitals, pharmacies",44.5686505089528,40.1732511723095,2,"Hello",0
"917",917,"Hospitals, pharmacies",44.562615447211,40.1952057702078,2,"Hello",0
"918",918,"Shops",44.521128462613,40.1989008761598,3,"Hello",0
"919",919,"Schools, learning centers, kindergartens",44.4498417549264,40.1575406037383,6,"Hello",0
"920",920,"Schools, learning centers, kindergartens",44.4985565843005,40.1444811992934,8,"Hello",0
"921",921,"Schools, learning centers, kindergartens",44.497902161616,40.1514656567395,8,"Hello",0
"922",922,"Schools, learning centers, kindergartens",44.5289581786294,40.2030411975972,3,"Hello",0
"923",923,"Schools, learning centers, kindergartens",44.5436531793731,40.1880952193531,10,"Hello",0
"924",924,"Schools, learning centers, kindergartens",44.5671182525727,40.1848762182259,2,"Hello",0
"925",925,"Schools, learning centers, kindergartens",44.5738893040267,40.2039670130893,2,"Hello",0
"926",926,"Shops",44.4436347556392,40.1613960730972,6,"Hello",0
"927",927,"Shops",44.4627915985677,40.1451900668856,8,"Hello",0
"928",928,"Shops",44.4858825234514,40.1330359090395,8,"Hello",0
"929",929,"Shops",44.4808752242262,40.1406207865555,8,"Hello",0
"930",930,"Shops",44.4809261587028,40.1389844948372,8,"Hello",0
"931",931,"Shops",44.4819695519053,40.1391463608474,8,"Hello",0
"932",932,"Shops",44.4815321621935,40.1436556541576,8,"Hello",0
"933",933,"Shops",44.4840116920407,40.1349674571582,8,"Hello",0
"934",934,"Shops",44.4873787573886,40.1340299173155,8,"Hello",0
"935",935,"Shops",44.4880245562464,40.1430392698805,8,"Hello",0
"936",936,"Shops",44.4880877078108,40.1435306060616,8,"Hello",0
"937",937,"Shops",44.5162772905842,40.1387108943912,11,"Hello",0
"938",938,"Shops",44.51652801038,40.1405903644014,11,"Hello",0
"939",939,"Shops",44.4813180936612,40.1494913879484,8,"Hello",0
"940",940,"Shops",44.4744655650109,40.151816656263,8,"Hello",0
"941",941,"Shops",44.4775408575546,40.1508674702731,8,"Hello",0
"942",942,"Shops",44.4757878851091,40.1522596601142,8,"Hello",0
"943",943,"Shops",44.476079927408,40.1522221023983,8,"Hello",0
"944",944,"Shops",44.4777499853527,40.1509456083361,8,"Hello",0
"945",945,"Shops",44.4779134787344,40.1509728673756,8,"Hello",0
"946",946,"Shops",44.4801292632142,40.1499008991196,8,"Hello",0
"947",947,"Shops",44.4803753117706,40.1512431226513,8,"Hello",0
"948",948,"Shops",44.4821487658045,40.1498560617492,8,"Hello",0
"949",949,"Shops",44.4813835808455,40.1505598608562,8,"Hello",0
"950",950,"Shops",44.4828448703181,40.1504123039696,8,"Hello",0
"951",951,"Shops",44.4832660005233,40.152496472364,8,"Hello",0
"952",952,"Shops",44.4834655163479,40.1526561090337,8,"Hello",0
"953",953,"Shops",44.4817118252503,40.1538081597065,8,"Hello",0
"954",954,"Shops",44.4844633649655,40.1447720810486,8,"Hello",0
"955",955,"Shops",44.4846678215242,40.1450249191828,8,"Hello",0
"956",956,"Shops",44.4843427212229,40.1453068717337,8,"Hello",0
"957",957,"Shops",44.4845540049777,40.1452728122573,8,"Hello",0
"958",958,"Shops",44.4863140741139,40.1446028121901,8,"Hello",0
"959",959,"Shops",44.4851251538354,40.1451084887774,8,"Hello",0
"960",960,"Shops",44.4873716606979,40.1477214116208,8,"Hello",0
"961",961,"Shops",44.4898418480661,40.1460061859179,8,"Hello",0
"962",962,"Shops",44.4928069173244,40.1443896632993,8,"Hello",0
"963",963,"Shops",44.4934391516214,40.1462613541477,8,"Hello",0
"964",964,"Shops",44.4923162575163,40.1477041078266,8,"Hello",0
"965",965,"Shops",44.4838799091885,40.1516327799783,8,"Hello",0
"966",966,"Shops",44.4862361003472,40.1531468950341,8,"Hello",0
"967",967,"Shops",44.486300150227,40.153210405834,8,"Hello",0
"968",968,"Shops",44.4851885748944,40.1539112864792,8,"Hello",0
"969",969,"Shops",44.486864741383,40.1534641737996,8,"Hello",0
"970",970,"Shops",44.493863246267,40.150762073007,8,"Hello",0
"971",971,"Shops",44.4932000200928,40.1515819015009,8,"Hello",0
"972",972,"Shops",44.4908831751435,40.1535478703313,8,"Hello",0
"973",973,"Shops",44.4897332417483,40.1542478549236,8,"Hello",0
"974",974,"Shops",44.4891508639496,40.1547222886371,8,"Hello",0
"975",975,"Shops",44.4894293416877,40.1550276134723,8,"Hello",0
"976",976,"Shops",44.4923333255066,40.152407693615,8,"Hello",0
"977",977,"Shops",44.4934165140762,40.153942457923,8,"Hello",0
"978",978,"Shops",44.4837067140017,40.1555621174399,8,"Hello",0
"979",979,"Shops",44.4859375901783,40.1570322047915,8,"Hello",0
"980",980,"Shops",44.4899423695464,40.1557448845623,8,"Hello",0
"981",981,"Shops",44.4900059702686,40.1559717979798,8,"Hello",0
"982",982,"Shops",44.4928723146771,40.1565310796736,8,"Hello",0
"983",983,"Shops",44.4951645457876,40.1453942864005,8,"Hello",0
"984",984,"Shops",44.4956575412155,40.1489753069735,8,"Hello",0
"985",985,"Shops",44.4955396822503,40.1492187911153,8,"Hello",0
"986",986,"Shops",44.4966124503626,40.1508016914122,8,"Hello",0
"987",987,"Shops",44.4974530938054,40.1522663202555,8,"Hello",0
"988",988,"Shops",44.4959771617936,40.153490058628,8,"Hello",0
"989",989,"Shops",44.4960536982558,40.1534941095685,8,"Hello",0
"990",990,"Shops",44.4946665197941,40.1537511721417,8,"Hello",0
"991",991,"Shops",44.5099512645219,40.152810870419,11,"Hello",0
"992",992,"Shops",44.5091135855194,40.1547110972577,11,"Hello",0
"993",993,"Shops",44.5100215127771,40.1543356700389,11,"Hello",0
"994",994,"Shops",44.5087609069389,40.1552916733764,11,"Hello",0
"995",995,"Shops",44.5105728088669,40.1555073970601,11,"Hello",0
"996",996,"Shops",44.5108081674714,40.1574390615655,11,"Hello",0
"997",997,"Shops",44.5116981284234,40.1552121671482,11,"Hello",0
"998",998,"Shops",44.5119099511674,40.1561527102519,11,"Hello",0
"999",999,"Shops",44.5111855497222,40.1573798113972,11,"Hello",0
"1000",1000,"Shops",44.5112780761965,40.1575496663184,11,"Hello",0
"1001",1001,"Shops",44.5117381034535,40.1589086963554,11,"Hello",0
"1002",1002,"Shops",44.5119253123587,40.1614934902375,11,"Hello",0
"1003",1003,"Shops",44.5125296988819,40.1622420666152,11,"Hello",0
"1004",1004,"Shops",44.5251186892735,40.1271296630076,11,"Hello",0
"1005",1005,"Shops",44.5270416229707,40.1272263737459,11,"Hello",0
"1006",1006,"Shops",44.522989322724,40.1285176000308,11,"Hello",0
"1007",1007,"Shops",44.5230717880671,40.1285314057647,11,"Hello",0
"1008",1008,"Shops",44.523137904072,40.1284220587804,11,"Hello",0
"1009",1009,"Shops",44.5230972103897,40.1289659071812,11,"Hello",0
"1010",1010,"Shops",44.5245709864448,40.1298419761251,11,"Hello",0
"1011",1011,"Shops",44.5278715764617,40.1272570766291,11,"Hello",0
"1012",1012,"Shops",44.5284190097958,40.1296342756577,11,"Hello",0
"1013",1013,"Shops",44.5279934778458,40.1311819860395,11,"Hello",0
"1014",1014,"Shops",44.5205628833101,40.143761817819,11,"Hello",0
"1015",1015,"Shops",44.5244607631594,40.1414836575555,11,"Hello",0
"1016",1016,"Shops",44.5243916827141,40.1420043964467,11,"Hello",0
