"","TYPE","point","lon","lat","cell"
"65","bus_stop",4,44.4329434562853,40.1740734062067,10
"66","restaurant/cafe",6,44.4374578499141,40.172070484942,10
"67","supermarket/shop(food)",10,44.438785559904,40.176182655887,10
"68","healthcare",10,44.438837752022,40.1763215085204,10
"69","restaurant/cafe",6,44.4389231818056,40.1769800079459,10
"70","bank/atm",10,44.4394309096042,40.1769949020116,10
"71","bank/atm",10,44.442233204133,40.1661300823865,17
"72","bank/atm",10,44.4422657231462,40.1661449101862,17
"73","bank/atm",10,44.4422989608118,40.1661675637629,17
"74","bank/atm",10,44.4425874098495,40.1662452036911,17
"75","bank/atm",10,44.4426771515464,40.1663150864152,17
"76","bank/atm",10,44.4438844872882,40.1666001769795,17
"77","healthcare",10,44.4447103983605,40.166453204122,17
"78","bus_stop",4,44.4443843997438,40.1668659080406,17
"79","bus_stop",4,44.4444400952915,40.1670715725962,17
"80","School/kindergarten",7,44.440780358824,40.171291196689,10
"81","bank/atm",10,44.4443633791662,40.1713113774366,10
"82","bank/atm",10,44.4464041718287,40.1683750155772,17
"83","School/kindergarten",7,44.4476133940326,40.1702083603605,10
"84","School/kindergarten",7,44.4475920141288,40.1712638771639,10
"85","bank/atm",10,44.4403028144189,40.1720036970014,10
"86","bus_stop",4,44.4401036579204,40.1733207732607,10
"87","bus_stop",4,44.4400677253091,40.1736558040599,10
"88","beauty_salon",4,44.4448987750755,40.1727943027548,10
"89","bank/atm",10,44.4426935008845,40.1733207046208,10
"90","bank/atm",10,44.4441163424631,40.1734312835002,10
"91","bus_stop",4,44.4438801753749,40.1737368673995,10
"92","mall/shop(non-food)",14,44.4451240725488,40.1736845640534,10
"93","mall/shop(non-food)",14,44.4451696171337,40.1736552549429,10
"94","School/kindergarten",7,44.4421264842772,40.1760912998967,10
"95","place_of_worship",3,44.4426125626774,40.1745057631183,10
"96","School/kindergarten",7,44.442720091017,40.1763617983811,10
"97","bank/atm",10,44.4440145633414,40.1756910068344,10
"98","supermarket/shop(food)",10,44.4457492999865,40.172923758593,10
"99","bank/atm",10,44.4457511864486,40.1730082548207,10
"100","healthcare",10,44.4456324291681,40.173138808493,10
"101","restaurant/cafe",6,44.4453077780244,40.1733822059937,10
"102","mall/shop(non-food)",14,44.4456460835604,40.1733213223804,10
"103","bank/atm",10,44.4455398128623,40.1736472927468,10
"104","mall/shop(non-food)",14,44.4461717776647,40.1736199055305,10
"105","mall/shop(non-food)",14,44.4462568481221,40.173680788876,10
"106","bank/atm",10,44.4499664410878,40.1742264027998,10
"107","School/kindergarten",7,44.4462388818164,40.1765843187822,10
"108","bank/atm",10,44.4506532031225,40.1743584641846,10
"109","mall/shop(non-food)",14,44.4484961684623,40.1762541070305,10
"110","supermarket/shop(food)",10,44.4358710657962,40.1778149628508,10
"111","School/kindergarten",7,44.4417948262743,40.1770524877924,10
"112","supermarket/shop(food)",10,44.4409285808458,40.1785289046339,10
"113","supermarket/shop(food)",10,44.4418430658051,40.1797436591071,10
"114","School/kindergarten",7,44.4428340872265,40.1782584834234,10
"115","School/kindergarten",7,44.443913682535,40.1772757609241,10
"116","School/kindergarten",7,44.4439902189972,40.1784838802635,10
"117","School/kindergarten",7,44.4449288686375,40.1793773613452,10
"118","bus_stop",4,44.441593154493,40.1811310703046,10
"119","bus_stop",4,44.4447733702619,40.1805273114217,10
"120","bank/atm",10,44.4460720646681,40.1780153779532,10
"121","healthcare",10,44.4463830614195,40.1780319190362,10
"122","bank/atm",10,44.4464029141873,40.1787293862621,10
"123","bank/atm",10,44.4467962864502,40.179462192706,10
"124","restaurant/cafe",6,44.4468582702048,40.1796685740609,10
"125","supermarket/shop(food)",10,44.4486173511941,40.1776770055355,10
"126","School/kindergarten",7,44.4503153467442,40.1785215607219,10
"127","bank/atm",10,44.4458387721888,40.1802077569728,10
"128","supermarket/shop(food)",10,44.4459262680975,40.1802207972396,10
"129","supermarket/shop(food)",10,44.4498192970443,40.1812979146276,10
"130","healthcare",10,44.4434654232082,40.1825216101408,10
"131","supermarket/shop(food)",10,44.445325564667,40.1826146046069,10
"132","bus_stop",4,44.4486056730955,40.1838454824489,10
"133","bus_stop",4,44.4487665613628,40.183803069522,10
"134","bus_stop",4,44.4468361716488,40.1857696151265,10
"135","bus_stop",4,44.447078626944,40.1858829188089,10
"136","School/kindergarten",7,44.4542878765936,40.1667849051407,17
"137","mall/shop(non-food)",14,44.4557621916379,40.1693066585561,10
"138","School/kindergarten",7,44.4555969914572,40.1711357910029,10
"139","School/kindergarten",7,44.4558991847187,40.1713349902765,10
"140","supermarket/shop(food)",10,44.4564883897136,40.1714346583359,10
"141","supermarket/shop(food)",10,44.4522790639553,40.1724828115024,10
"142","beauty_salon",4,44.456171913239,40.1722173769954,10
"143","restaurant/cafe",6,44.4508524494526,40.1743026607306,10
"144","bus_stop",4,44.4525177463263,40.1745527120123,10
"145","bus_stop",4,44.4524323165427,40.1748114108177,10
"146","bank/atm",10,44.4557628204586,40.1748252071445,10
"147","bank/atm",10,44.4567386603518,40.1720881943746,10
"148","bank/atm",10,44.4573958678136,40.1721691223045,10
"149","healthcare",10,44.4564481451889,40.1721998735197,10
"150","bank/atm",10,44.4573664030723,40.1724191128067,10
"151","supermarket/shop(food)",10,44.4575044741315,40.1727054819043,10
"152","bank/atm",10,44.4573919152264,40.1728547063579,10
"153","healthcare",10,44.4575484017489,40.1728216903042,10
"154","mall/shop(non-food)",14,44.4571568261165,40.1730941923872,10
"155","bank/atm",10,44.4569680900753,40.1735186619659,10
"156","bus_stop",4,44.4571527836977,40.1738184111184,10
"157","restaurant/cafe",6,44.4572585154067,40.1737468887709,10
"158","bus_stop",4,44.4572197081864,40.1741132855673,10
"159","bank/atm",10,44.4575554984396,40.1731252177439,10
"160","supermarket/shop(food)",10,44.4576821608947,40.1731456038665,10
"161","bank/atm",10,44.4575718477778,40.1732644198333,10
"162","bank/atm",10,44.457898115889,40.1741638039662,10
"163","School/kindergarten",7,44.4597387639061,40.1729027546402,10
"164","bank/atm",10,44.4584433034349,40.1756352044762,10
"165","School/kindergarten",7,44.464123800134,40.1668674869097,17
"166","bank/atm",10,44.4651794104244,40.1669992880287,17
"167","School/kindergarten",7,44.4663354523635,40.169229296706,17
"168","School/kindergarten",7,44.4683914265543,40.1692802992488,18
"169","healthcare",10,44.465213007416,40.1729983706208,10
"170","supermarket/shop(food)",10,44.4508748175031,40.17874929026,10
"171","School/kindergarten",7,44.4575306151062,40.1782374811218,10
"172","place_of_worship",3,44.4573172652263,40.1792897158877,10
"173","bank/atm",10,44.458737771185,40.1784366595502,10
