"X","TYPE","lon","lat","cell"
3446,"Hospitals, pharmacies",44.4926185406094,40.1982368944862,"2,3"
3460,"Hospitals, pharmacies",44.4933459064949,40.1983355624233,"2,3"
3504,"Hospitals, pharmacies",44.4763674781305,40.2051396671189,"2,3"
3513,"Hospitals, pharmacies",44.4766887156761,40.2054097753441,"2,3"
3514,"Hospitals, pharmacies",44.4767328229565,40.2058398057257,"2,3"
3526,"Hospitals, pharmacies",44.47675007061,40.2074891678563,"2,3"
3529,"Hospitals, pharmacies",44.4801243224802,40.2046356726175,"2,3"
3561,"Hospitals, pharmacies",44.4920935651573,40.199663585949,"2,3"
3592,"Hospitals, pharmacies",44.4911933634111,40.2021817847065,"2,3"
3608,"Hospitals, pharmacies",44.4934558602857,40.2036155971369,"2,3"
3626,"Hospitals, pharmacies",44.4983805145048,40.1931636732539,"3,7"
3630,"Hospitals, pharmacies",44.4987740664307,40.1929113574769,"3,7"
3687,"Hospitals, pharmacies",44.4991501910402,40.1958957188387,"3,7"
3734,"Hospitals, pharmacies",44.5012049075896,40.1988724013119,"3"
3737,"Hospitals, pharmacies",44.5022085952565,40.1980871769389,"3"
3794,"Hospitals, pharmacies",44.514147474877,40.1887415952482,"3,7"
3795,"Hospitals, pharmacies",44.5140987861886,40.1888295716164,"3,7"
3907,"Hospitals, pharmacies",44.4979856151059,40.2000660017892,"3"
3915,"Hospitals, pharmacies",44.4993133250958,40.1998167992862,"3"
3923,"Hospitals, pharmacies",44.4995506599939,40.2011860980942,"3"
3954,"Hospitals, pharmacies",44.4991916033748,40.2025681993868,"3"
3961,"Hospitals, pharmacies",44.4981376100519,40.2032521726711,"2,3"
4001,"Hospitals, pharmacies",44.5005902802722,40.2033294957289,"3"
4017,"Hospitals, pharmacies",44.5023134286502,40.2038379595316,"3"
4056,"Hospitals, pharmacies",44.5011011521742,40.2054869587261,"3"
4063,"Hospitals, pharmacies",44.5016912554844,40.2046979002928,"3"
4074,"Hospitals, pharmacies",44.5008370474807,40.2059995227604,"3"
4151,"Hospitals, pharmacies",44.5131742400982,40.1998330606008,"3"
4211,"Hospitals, pharmacies",44.5107204020681,40.2066866173099,"3"
4231,"Hospitals, pharmacies",44.507287849536,40.2094540662116,"3"
4260,"Hospitals, pharmacies",44.5114758852221,40.2071313212229,"3"
4276,"Hospitals, pharmacies",44.5135099405199,40.2070308137285,"3"
4292,"Hospitals, pharmacies",44.5141686751177,40.2069906106891,"3"
4328,"Hospitals, pharmacies",44.5170948473242,40.1675875160486,"3,7"
4366,"Hospitals, pharmacies",44.5172983157361,40.1703685731763,"3,7"
4380,"Hospitals, pharmacies",44.5189743923932,40.171207110176,"3,7"
4424,"Hospitals, pharmacies",44.5208731614092,40.173032896674,"3,7"
4441,"Hospitals, pharmacies",44.5192638295777,40.1763661225044,"3,7"
4543,"Hospitals, pharmacies",44.5211095081605,40.1796173734242,"3,7"
4583,"Hospitals, pharmacies",44.51860392717,40.1817571976623,"3,7"
4594,"Hospitals, pharmacies",44.5200512927558,40.1803592984455,"3,7"
4620,"Hospitals, pharmacies",44.5214471848758,40.1813537809608,"3,7"
4671,"Hospitals, pharmacies",44.5251899256755,40.1783598571862,"3,7"
4758,"Hospitals, pharmacies",44.5184630713335,40.1829257062005,"3,7"
4861,"Hospitals, pharmacies",44.5183089204307,40.1862517206416,"3,7"
4874,"Hospitals, pharmacies",44.5179372873977,40.1877133887192,"3,7"
4957,"Hospitals, pharmacies",44.5223108251899,40.1861957210879,"3,7"
4977,"Hospitals, pharmacies",44.5230297469118,40.1869662599082,"3,7"
4986,"Hospitals, pharmacies",44.5237691502222,40.1876195777368,"3,7"
4994,"Hospitals, pharmacies",44.524333022726,40.1876455867932,"3,7"
5165,"Hospitals, pharmacies",44.5172612153149,40.1882540174417,"3,7"
5170,"Hospitals, pharmacies",44.5178487135107,40.1881252771011,"3,7"
5266,"Hospitals, pharmacies",44.5245569727264,40.1888894805756,"3,7"
5285,"Hospitals, pharmacies",44.5249182751336,40.1892199739515,"3,7"
5348,"Hospitals, pharmacies",44.5277356613592,40.1910323062146,"3,7"
5393,"Hospitals, pharmacies",44.5208731614092,40.2006772027284,"3"
5396,"Hospitals, pharmacies",44.5218976899908,40.2010390629238,"3"
5416,"Hospitals, pharmacies",44.5226456272963,40.2017767742001,"3"
5419,"Hospitals, pharmacies",44.5224575200758,40.2023957127082,"3"
5450,"Hospitals, pharmacies",44.5192414615272,40.2061759794591,"3"
5469,"Hospitals, pharmacies",44.5197917694702,40.2066707006703,"3"
5473,"Hospitals, pharmacies",44.5205598290381,40.2066401708984,"3"
5624,"Hospitals, pharmacies",44.5356154135369,40.2040271145027,"3,4"
5649,"Hospitals, pharmacies",44.5283946654516,40.2078411125684,"3,4"
5657,"Hospitals, pharmacies",44.5289726415054,40.2092184817391,"3,4"
5690,"Hospitals, pharmacies",44.5365814617935,40.2053171551697,"3,4"
5767,"Hospitals, pharmacies",44.5436690795536,40.2015411630448,"3,4"
5773,"Hospitals, pharmacies",44.543682913609,40.2024278910439,"3,4"
