"","TYPE","point","lon","lat","cell","districtName"
"93","healthcare",10,44.4447103983605,40.166453204122,6,"Malatia-Sebastia"
"94","bus_stop",4,44.4443843997438,40.1668659080406,6,"Malatia-Sebastia"
"95","bus_stop",4,44.4444400952915,40.1670715725962,6,"Malatia-Sebastia"
"96","School/kindergarten",7,44.440780358824,40.171291196689,6,"Malatia-Sebastia"
"97","bank/atm",10,44.4443633791662,40.1713113774366,6,"Malatia-Sebastia"
"99","bank/atm",10,44.4464041718287,40.1683750155772,6,"Malatia-Sebastia"
"100","School/kindergarten",7,44.4476133940326,40.1702083603605,6,"Malatia-Sebastia"
"101","School/kindergarten",7,44.4475920141288,40.1712638771639,6,"Malatia-Sebastia"
"102","bank/atm",10,44.4403028144189,40.1720036970014,6,"Malatia-Sebastia"
"104","bus_stop",4,44.4401036579204,40.1733207732607,6,"Malatia-Sebastia"
"105","bus_stop",4,44.4400677253091,40.1736558040599,6,"Malatia-Sebastia"
"106","beauty_salon",4,44.4448987750755,40.1727943027548,6,"Malatia-Sebastia"
"107","bank/atm",10,44.4426935008845,40.1733207046208,6,"Malatia-Sebastia"
"108","bank/atm",10,44.4441163424631,40.1734312835002,6,"Malatia-Sebastia"
"109","bus_stop",4,44.4438801753749,40.1737368673995,6,"Malatia-Sebastia"
"111","mall/shop(non-food)",14,44.4451240725488,40.1736845640534,6,"Malatia-Sebastia"
"112","mall/shop(non-food)",14,44.4451696171337,40.1736552549429,6,"Malatia-Sebastia"
"113","School/kindergarten",7,44.4421264842772,40.1760912998967,6,"Malatia-Sebastia"
"114","place_of_worship",3,44.4426125626774,40.1745057631183,6,"Malatia-Sebastia"
"115","School/kindergarten",7,44.442720091017,40.1763617983811,6,"Malatia-Sebastia"
"116","bank/atm",10,44.4440145633414,40.1756910068344,6,"Malatia-Sebastia"
"119","supermarket/shop(food)",10,44.4457492999865,40.172923758593,6,"Malatia-Sebastia"
"120","bank/atm",10,44.4457511864486,40.1730082548207,6,"Malatia-Sebastia"
"121","healthcare",10,44.4456324291681,40.173138808493,6,"Malatia-Sebastia"
"122","restaurant/cafe",6,44.4453077780244,40.1733822059937,6,"Malatia-Sebastia"
"123","mall/shop(non-food)",14,44.4456460835604,40.1733213223804,6,"Malatia-Sebastia"
"125","bank/atm",10,44.4455398128623,40.1736472927468,6,"Malatia-Sebastia"
"126","mall/shop(non-food)",14,44.4461717776647,40.1736199055305,6,"Malatia-Sebastia"
"127","mall/shop(non-food)",14,44.4462568481221,40.173680788876,6,"Malatia-Sebastia"
"128","bank/atm",10,44.4499664410878,40.1742264027998,6,"Malatia-Sebastia"
"129","School/kindergarten",7,44.4462388818164,40.1765843187822,6,"Malatia-Sebastia"
"131","bank/atm",10,44.4506532031225,40.1743584641846,6,"Malatia-Sebastia"
"132","mall/shop(non-food)",14,44.4484961684623,40.1762541070305,6,"Malatia-Sebastia"
"133","supermarket/shop(food)",10,44.4358710657962,40.1778149628508,6,"Malatia-Sebastia"
"135","School/kindergarten",7,44.4417948262743,40.1770524877924,6,"Malatia-Sebastia"
"136","supermarket/shop(food)",10,44.4409285808458,40.1785289046339,6,"Malatia-Sebastia"
"137","supermarket/shop(food)",10,44.4418430658051,40.1797436591071,6,"Malatia-Sebastia"
"138","School/kindergarten",7,44.4428340872265,40.1782584834234,6,"Malatia-Sebastia"
"139","School/kindergarten",7,44.443913682535,40.1772757609241,6,"Malatia-Sebastia"
"140","School/kindergarten",7,44.4439902189972,40.1784838802635,6,"Malatia-Sebastia"
"141","School/kindergarten",7,44.4449288686375,40.1793773613452,6,"Malatia-Sebastia"
"142","bus_stop",4,44.441593154493,40.1811310703046,6,"Malatia-Sebastia"
"146","bus_stop",4,44.4447733702619,40.1805273114217,6,"Malatia-Sebastia"
"147","bank/atm",10,44.4460720646681,40.1780153779532,6,"Malatia-Sebastia"
"148","healthcare",10,44.4463830614195,40.1780319190362,6,"Malatia-Sebastia"
"151","bank/atm",10,44.4464029141873,40.1787293862621,6,"Malatia-Sebastia"
"152","bank/atm",10,44.4467962864502,40.179462192706,6,"Malatia-Sebastia"
"153","restaurant/cafe",6,44.4468582702048,40.1796685740609,6,"Malatia-Sebastia"
"154","supermarket/shop(food)",10,44.4486173511941,40.1776770055355,6,"Malatia-Sebastia"
"156","School/kindergarten",7,44.4503153467442,40.1785215607219,6,"Malatia-Sebastia"
"157","bank/atm",10,44.4458387721888,40.1802077569728,6,"Malatia-Sebastia"
"158","supermarket/shop(food)",10,44.4459262680975,40.1802207972396,6,"Malatia-Sebastia"
